protocol,n,rps,log_loss,brier,accuracy,ece
original (random split),5196,0.21107811208744265,1.1308285785655745,0.6189195322656895,0.4884526558891455,0.038342291166820475
same model (chronological),5196,0.21054725736524985,1.163596620824938,0.6211750775309807,0.48171670515781373,0.0475563713272755
