edge_threshold,n_bets,total_staked,profit,roi_pct,roi_ci_low_pct,roi_ci_high_pct,hit_rate,final_bankroll
0.0,21871,67983.46,-996.58,-1.466,-5.212,2.563,0.3108,3.42
0.02,19356,66872.63,-996.18,-1.49,-5.374,2.755,0.3024,3.82
0.05,15833,70133.37,-992.83,-1.416,-5.339,2.849,0.2897,7.17
0.1,11326,60740.72,-968.09,-1.594,-5.919,2.749,0.2678,31.91
0.15,8089,32525.11,-974.19,-2.995,-8.741,3.044,0.2397,25.81
0.2,5818,24412.68,-938.59,-3.845,-11.22,4.062,0.2161,61.41
